id;archive;client_base_id;manager_trade_do
184;0;8133;Чихунова
185;0;7434;Гладкая
186;0;6248;Грачев
187;0;7691;Гладкая
188;0;3638;Гладкая
189;0;3640;Гладкая
190;0;940;Гладкая
191;0;8004;Чихунова
192;0;4536;Балакина
193;0;7949;Чихунова
194;0;6262;Балакина
195;0;2719;Гладкая
196;0;7658;Гладкая
197;0;7724;Гладкая
198;0;7657;Гладкая
199;0;971;Гладкая
200;0;8005;Чихунова
201;0;7838;Балакина
202;0;7866;Гладкая
203;0;7500;Гладкая
204;0;8274;Чихунова
205;0;7467;Чихунова
206;0;7738;Гладкая
207;0;7739;Гладкая
208;0;2360;Чихунова
209;0;8116;Чихунова
210;0;4281;Балакина
211;0;7812;Балакина
212;0;7674;Гладкая
213;0;2359;Чихунова
214;0;5588;Грачев
215;0;7961;Чихунова
216;0;4005;Гладкая
217;0;7452;Чихунова
218;0;3657;Гладкая
219;0;7637;Гладкая
220;0;7533;Чихунова
223;0;8013;Чихунова
224;0;3561;Чихунова
225;0;3575;Гладкая
226;0;7744;Гладкая
229;0;8368;Гладкая
230;0;7846;Балакина
231;0;7846;Балакина
232;0;4004;Гладкая
233;0;4389;Балакина
234;0;5174;Чихунова
235;0;3736;Чихунова
237;0;8000;Чихунова
238;0;7952;Чихунова
239;0;8254;Гладкая
240;0;7558;Гладкая
241;0;6316;Чихунова
242;0;7995;Чихунова
243;0;8532;Грачев
244;0;5609;Чихунова
245;0;7695;Гладкая
248;0;7947;Чихунова
249;0;4141;Гладкая
250;0;7466;Гладкая
251;0;8018;Чихунова
252;0;6308;Грачев
253;0;3495;Гладкая
254;0;6305;Грачев
255;0;2753;Чихунова
256;0;8329;Чихунова
257;0;3858;Балакина
258;0;8439;Гладкая
259;0;8442;Гладкая
260;0;7608;Гладкая
261;0;8444;Гладкая
262;0;7468;Чихунова
263;0;4149;Балакина
264;0;3619;Вишнякова
266;0;4342;Балакина
267;0;3754;Чихунова
268;0;7495;Чихунова
269;0;4104;Балакина
270;0;4362;Грачев
271;0;4136;Грачев
272;0;3864;Вишнякова
273;0;8288;Чихунова
274;0;8291;Чихунова
275;0;7682;Гладкая
276;0;871;Гладкая
277;0;8061;Гладкая
278;0;8590;Гладкая
