address;region;city;okato;oktmo;timezone;geo_lat;geo_lon;population;foundation_year
Респ Бурятия, г. Закаменск;4;Закаменск;81221501000;81621101001;UTC+8;50.372713;103.286699;11249;1934
Респ Бурятия, г. Кяхта;4;Кяхта;81233501000;81633101;UTC+8;50.346543;106.4533516;20013;1727
Респ Бурятия, г. Северобайкальск;4;Северобайкальск;81420000000;81720000001;UTC+8;55.635614;109.3361505;23673;1974
г. Улан-Удэ;4;Улан-Удэ;81401000000;81701000001;UTC+8;51.8335853;107.5842223;431922;1666
Владимирская обл, г. Александров;37;Александров;17205501000;17605101001;UTC+3;56.391819;38.7111123;61544;XIV век
г. Владимир;37;Владимир;17401000000;17701000001;UTC+3;56.1280804;40.4084376;348256;990
Владимирская обл, г. Вязники;37;Вязники;17210501000;17610101001;UTC+3;56.29773;42.2687398;41252;1608
Владимирская обл, г. Гороховец;37;Гороховец;17215501000;17615101001;UTC+3;56.2021036;42.6926111;14015;1158
Владимирская обл, г. Гусь-Хрустальный;37;Гусь-Хрустальный;17420000000;17720000001;UTC+3;55.6198751;40.6579929;60773;1756
Владимирская обл, г. Камешково;37;Камешково;17225501000;17625101001;UTC+3;56.3490152;40.9955183;13113;1892
Владимирская обл, Александровский р-н, г. Карабаново;37;Карабаново;17205505000;17605105001;UTC+3;56.3131822;38.7034257;14868;1630
Владимирская обл, г. Киржач;37;Киржач;17230501000;17630101001;UTC+3;56.1486863;38.8635701;30044;1332
Владимирская обл, г. Ковров;37;Ковров;17425000000;17725000001;UTC+3;56.3554349;41.3170576;145492;XII век
Владимирская обл, г. Кольчугино;37;Кольчугино;17240501000;17640101001;UTC+3;56.3327254;39.391336;45804;1871
Владимирская обл, Петушинский р-н, г. Костерево;37;Костерево;17246510000;17646110001;UTC+3;55.9337222;39.6247398;9136;1890
Владимирская обл, Гусь-Хрустальный р-н, г. Курлово;37;Курлово;17220515000;17620115001;UTC+3;55.452698;40.6124108;6791;1811
Владимирская обл, Собинский р-н, г. Лакинск;37;Лакинск;17250503000;17650110001;UTC+3;56.0180587;39.956551;15707;15 век
Владимирская обл, г. Меленки;37;Меленки;17242501000;17642101001;UTC+3;55.3387515;41.6340046;15208;XVIII век
Владимирская обл, г. Муром;37;Муром;17435000000;17735000001;UTC+3;55.5630311;42.0231362;116078;862
Владимирская обл, г. Петушки;37;Петушки;17246501000;17646101001;UTC+3;55.9298134;39.4508075;15167;1861
Владимирская обл, Петушинский р-н, г. Покров;37;Покров;17246520000;17646120001;UTC+3;55.9166398;39.1734526;17762;1506
Владимирская обл, г. Радужный;37;Радужный;17537000000;17737000001;UTC+3;55.9960277;40.3321855;18212;1971
Владимирская обл, г. Собинка;37;Собинка;17250501000;17650101001;UTC+3;55.9939169;40.0179653;19482;1858
Владимирская обл, Александровский р-н, г. Струнино;37;Струнино;17205508000;17605108001;UTC+3;56.3749967;38.5839667;14372;1492
Владимирская обл, г. Судогда;37;Судогда;17252501000;17652101001;UTC+3;55.9498056;40.8562939;11848;1552
Владимирская обл, г. Суздаль;37;Суздаль;17254501000;17654101001;UTC+3;56.4274441;40.4525692;10535;999
Владимирская обл, г. Юрьев-Польский;37;Юрьев-Польский;17256501000;17656101001;UTC+3;56.4937757;39.6680539;19588;1152
г. Волгоград;38;Волгоград;18401000000;18701000001;UTC+4;48.7070042;44.5170339;1021244;1589
Волгоградская обл, г. Волжский;38;Волжский;18410000000;18710000001;UTC+4;48.7978209;44.7462538;314436;1951
Волгоградская обл, г. Дубовка;38;Дубовка;18208501000;18608101001;UTC+4;49.0554742;44.8270085;14345;1732
Волгоградская обл, г. Жирновск;38;Жирновск;18212501000;18612101001;UTC+4;50.9768814;44.7858202;16890;XVIII век
Волгоградская обл, г. Калач-на-Дону;38;Калач-на-Дону;18216501000;18616101001;UTC+4;48.6889024;43.5306303;26892;1708
Волгоградская обл, г. Камышин;38;Камышин;18415000000;18715000001;UTC+4;50.0651529;45.3844202;119924;1668
Волгоградская обл, г. Котельниково;38;Котельниково;18224501000;18624101001;UTC+4;47.6310259;43.1330872;20441;1897
Волгоградская обл, г. Котово;38;Котово;18226501000;18626101001;UTC+4;50.3205766;44.8030699;24104;1710-е
Волгоградская обл, Среднеахтубинский р-н, г. Краснослободск;38;Краснослободск;18251507000;18651107001;UTC+4;48.7068721;44.5630857;16007;1870
Волгоградская обл, г. Ленинск;38;Ленинск;18230501000;18630101001;UTC+4;48.6936061;45.1992692;15527;1802
Волгоградская обл, г. Михайловка;38;Михайловка;18420000000;18720000001;UTC+4;50.0708719;43.2401512;59153;1762
Волгоградская обл, г. Николаевск;38;Николаевск;18236501000;18636101001;UTC+4;50.0165306;45.4731658;15081;1747
Волгоградская обл, г. Новоаннинский;38;Новоаннинский;18238501000;18638101001;UTC+4;50.5296067;42.6666439;17911;1956
Волгоградская обл, г. Палласовка;38;Палласовка;18245501000;18645101;UTC+4;50.0500944;46.8804277;15984;1907
Волгоградская обл, Камышинский р-н, г. Петров Вал;38;Петров Вал;18218503000;18618103001;UTC+4;50.1380557;45.20914;13264;1942
Волгоградская обл, г. Серафимович;38;Серафимович;18250501000;18650101001;UTC+4;49.5663183;42.7360402;9368;1589
Волгоградская обл, г. Суровикино;38;Суровикино;18253501000;18653101001;UTC+4;48.618917;42.8541163;20527;1744
Волгоградская обл, г. Урюпинск;38;Урюпинск;18425000000;18725000001;UTC+4;50.7903789;42.0288513;41594;1618
Волгоградская обл, г. Фролово;38;Фролово;18428000000;18728000001;UTC+4;49.7649148;43.6648641;39489;1859
Вологодская обл, г. Бабаево;39;Бабаево;19205501000;19605101;UTC+3;59.3892583;35.9377058;12074;15 век
Вологодская обл, г. Белозерск;39;Белозерск;19210501000;19610101;UTC+3;60.0308381;37.7890586;9614;862
Вологодская обл, г. Великий Устюг;39;Великий Устюг;19410000000;19614101001;UTC+3;60.7603913;46.3054414;31664;1147
г. Вологда;39;Вологда;19401000000;19701000001;UTC+3;59.2483905;39.8355662;301642;1147
Вологодская обл, г. Вытегра;39;Вытегра;19222501000;19622101;UTC+3;61.0063465;36.4495137;10490;1710
Вологодская обл, г. Грязовец;39;Грязовец;19224501000;19624101;UTC+3;58.8757553;40.2485362;15528;1538
Вологодская обл, Сокольский р-н, г. Кадников;39;Кадников;19238504000;19638104;UTC+3;59.5037764;40.3441148;4797;1492
Вологодская обл, г. Кириллов;39;Кириллов;19228501000;19628101;UTC+3;59.8591523;38.3748782;7735;1397
Вологодская обл, Великоустюгский р-н, г. Красавино;39;Красавино;19410501000;19614105001;UTC+3;60.9612823;46.4814116;7003;1848
Вологодская обл, г. Никольск;39;Никольск;19234501000;19634101001;UTC+3;59.5351837;45.4576137;8515;XIV век
Вологодская обл, г. Сокол;39;Сокол;19420000000;19638101;UTC+3;59.4758605;40.1114187;38454;1615
Вологодская обл, г. Тотьма;39;Тотьма;19246501000;19646101001;UTC+3;59.9734998;42.7589506;9784;1137
Вологодская обл, г. Устюжна;39;Устюжна;19250501000;19650101001;UTC+3;58.8383117;36.4425478;9478;1252
Вологодская обл, г. Харовск;39;Харовск;19252501000;19652101001;UTC+3;59.9479423;40.2000298;10078;1903
Вологодская обл, г. Череповец;39;Череповец;19430000000;19730000;UTC+3;59.1269212;37.9090497;312311;1777
Воронежская обл, г. Бобров;40;Бобров;20204501000;20604101001;UTC+3;51.0901649;40.0318256;19738;1698
Воронежская обл, г. Богучар;40;Богучар;20205501000;20605101001;UTC+3;49.9352454;40.5590801;11811;1704
Воронежская обл, г. Борисоглебск;40;Борисоглебск;20410000000;20710000001;UTC+3;51.3655754;42.1008334;65585;1698
Воронежская обл, г. Бутурлиновка;40;Бутурлиновка;20208501000;20608101001;UTC+3;50.8311818;40.5976923;27208;1740
г. Воронеж;40;Воронеж;20401000000;20701000001;UTC+3;51.6593332;39.1969229;889680;1586
Воронежская обл, г. Калач;40;Калач;20215501000;20615101001;UTC+3;50.4242134;41.0162014;20046;1716
Воронежская обл, г. Лиски;40;Лиски;20221501000;20621101001;UTC+3;50.9945626;39.5184909;55864;XVI век
Воронежская обл, г. Нововоронеж;40;Нововоронеж;20427000000;20727000001;UTC+3;51.3091524;39.2162843;32635;1957
Воронежская обл, г. Новохоперск;40;Новохоперск;20227501000;20627101001;UTC+3;51.0952211;41.6173404;6849;1710
Воронежская обл, г. Острогожск;40;Острогожск;20231501000;20631101001;UTC+3;50.8677905;39.0407746;33842;1652
Воронежская обл, г. Павловск;40;Павловск;20233501000;20633101001;UTC+3;50.453455;40.136874;25126;1709
Воронежская обл, г. Поворино;40;Поворино;20239501000;20639101001;UTC+3;51.1954419;42.2472726;17692;1870
Воронежская обл, г. Россошь;40;Россошь;20247501000;20647101001;UTC+3;50.1701949;39.6226965;62865;XVII век
Воронежская обл, г. Семилуки;40;Семилуки;20249501000;20649101001;UTC+3;51.6951644;39.0190454;26025;1615
Воронежская обл, г. Эртиль;40;Эртиль;20258501000;20658101001;UTC+3;51.830932;40.8074182;11387;1897
Респ Дагестан, г. Буйнакск;5;Буйнакск;82405000000;82705000;UTC+3;42.8214424;47.1165263;65735;1834
Респ Дагестан, г. Дагестанские Огни;5;Дагестанские Огни;82408000000;82708000001;UTC+3;42.1152296;48.1939354;30671;1914
Респ Дагестан, г. Дербент;5;Дербент;82410000000;82710000;UTC+3;42.058966;48.2907452;119961;438
Респ Дагестан, г. Избербаш;5;Избербаш;82415000000;82715000;UTC+3;42.5650962;47.8710051;56301;1932
Респ Дагестан, г. Каспийск;5;Каспийск;82420000000;82720000;UTC+3;42.8916007;47.6367066;103914;1932
Респ Дагестан, г. Кизилюрт;5;Кизилюрт;82425000000;82725000;UTC+3;43.203825;46.8729636;36187;1963
Респ Дагестан, г. Кизляр;5;Кизляр;82430000000;82730000;UTC+3;43.8484083;46.7233699;49169;1735
г. Махачкала;5;Махачкала;82401000000;82701000;UTC+3;42.9849159;47.5047181;577990;1844
Респ Дагестан, г. Хасавюрт;5;Хасавюрт;82435000000;82735000001;UTC+3;43.2504665;46.5851292;133929;1846
Респ Дагестан, г. Южно-Сухокумск;5;Южно-Сухокумск;82438000000;82738000;UTC+3;44.6602467;45.6499523;10048;1958
г. Биробиджан;81;Биробиджан;99401000000;99701000;UTC+10;48.7946446;132.9217207;75419;1915
Еврейская Аобл, г. Облучье;81;Облучье;99220501000;99620101001;UTC+10;49.0189345;131.0540102;9379;1911
Забайкальский край, г. Балей;24;Балей;76206501000;76606101001;UTC+9;51.5823759;116.6379549;12536;1736
Забайкальский край, г. Борзя;24;Борзя;76209501000;76609101001;UTC+9;50.3876058;116.5234779;31376;1899
Забайкальский край, г. Краснокаменск;24;Краснокаменск;76221501000;76621101;UTC+9;50.0929703;118.0323936;55668;1967
Забайкальский край, г. Могоча;24;Могоча;76226501000;76626101001;UTC+9;53.7361398;119.7660867;13228;1910
Забайкальский край, г. Нерчинск;24;Нерчинск;76228501000;76628101;UTC+9;51.9594977;116.5852383;14976;1653
Забайкальский край, г. Петровск-Забайкальский;24;Петровск-Забайкальский;76236501000;76715000001;UTC+9;51.2748592;108.846681;18555;1789
Забайкальский край, г. Сретенск;24;Сретенск;76240501000;76640101001;UTC+9;52.2461454;117.7117842;6850;1689
Забайкальский край, г. Хилок;24;Хилок;76247501000;76647101001;UTC+9;51.3634856;110.4590898;11530;1895
Забайкальский край, г. Чита;24;Чита;76401000000;76701000001;UTC+9;52.0340142;113.4994;323964;1653
Забайкальский край, г. Шилка;24;Шилка;76254501000;76654101;UTC+9;51.8497035;116.0334461;13947;1897
Ивановская обл, г. Вичуга;41;Вичуга;24403000000;24703000001;UTC+3;57.2044698;41.9132201;37609;1925
Ивановская обл, г. Гаврилов Посад;41;Гаврилов Посад;24203501000;24603101001;UTC+3;56.5586946;40.1228906;6434;1434
Ивановская обл, г. Заволжск;41;Заволжск;24205501000;24605101001;UTC+3;57.4918141;42.1375625;12045;19 век
г. Иваново;41;Иваново;24401000000;24701000001;UTC+3;56.9993792;40.9728272;409277;1561
Ивановская обл, г. Кинешма;41;Кинешма;24405000000;24705000001;UTC+3;57.4425463;42.168914;88113;1429
Ивановская обл, г. Комсомольск;41;Комсомольск;24213501000;24613101001;UTC+3;57.0273052;40.3776851;8693;1931
Ивановская обл, г. Кохма;41;Кохма;24207504000;24706000001;UTC+3;56.9324606;41.0931657;29408;1619
Ивановская обл, Кинешемский р-н, г. Наволоки;41;Наволоки;24211504000;24611104001;UTC+3;57.4679066;41.9608002;10207;1775
Ивановская обл, Приволжский р-н, г. Плес;41;Плес;24220504000;24620104001;UTC+3;57.4606031;41.5122672;2341;1410
Ивановская обл, г. Приволжск;41;Приволжск;24220506000;24620106001;UTC+3;57.3805743;41.2808565;16749;1484
Ивановская обл, г. Пучеж;41;Пучеж;24221501000;24621101001;UTC+3;56.9820688;43.1683321;8583;1594
Ивановская обл, г. Родники;41;Родники;24223501000;24623101001;UTC+3;57.1025975;41.7298834;26318;1606
Ивановская обл, г. Тейково;41;Тейково;24407000000;24707000001;UTC+3;56.8542719;40.5353874;34993;XVII век
Ивановская обл, г. Фурманов;41;Фурманов;24231000000;24631101001;UTC+3;57.2539276;41.1054432;36149;1918
Ивановская обл, г. Шуя;41;Шуя;24411000000;24711000001;UTC+3;56.8560234;41.3800939;58528;1394
Ивановская обл, г. Южа;41;Южа;24235501000;24635101001;UTC+3;56.5926877;42.0458099;14170;1628
Ивановская обл, г. Юрьевец;41;Юрьевец;24237501000;24637101;UTC+3;57.3177781;43.1110401;10205;1225
